cust_id,gender,religion,employment,postal_code,birth_date,joined_ING_date,number_client_calls_to_ING,number_client_calls_from_ING
0,M,U,Public Sector,20,1985-09-01,2014-04-01,0,0
1,M,C,Private Sector,30,1982-09-01,2015-11-01,0,6
2,M,C,Private Sector,20,1974-04-01,2012-03-01,0,0
3,F,J,Unemployed,10,1977-08-01,2013-02-01,5,6
4,M,U,Private Sector,70,1979-06-01,2016-02-01,0,0
5,M,U,Private Sector,20,1978-04-01,2016-01-01,0,4
6,F,U,Private Sector,70,1974-06-01,2014-05-01,0,0
7,F,U,Private Sector,60,1985-07-01,2016-01-01,5,4
8,F,U,Private Sector,10,1982-08-01,2012-11-01,1,0
9,M,U,Self-employed,70,1984-08-01,2015-11-01,1,1
10,M,O,Public Sector,10,1990-05-01,2017-02-01,2,0
11,F,O,Self-employed,50,1983-11-01,2016-08-01,0,0
12,M,M,Private Sector,60,1983-12-01,2016-01-01,0,0
13,M,J,Private Sector,10,1973-04-01,2014-05-01,0,0
14,M,U,Private Sector,50,1985-02-01,2015-12-01,2,2
15,F,C,Private Sector,20,1986-01-01,2013-07-01,0,1
16,M,U,Private Sector,70,1982-02-01,2014-07-01,2,1
17,M,C,Unemployed,40,1976-12-01,2013-11-01,4,1
18,M,U,Public Sector,50,1988-12-01,2016-04-01,2,1
19,M,U,Public Sector,40,1979-01-01,2016-11-01,2,0
20,M,C,Public Sector,80,1988-02-01,2014-07-01,0,0
21,F,U,Public Sector,40,1979-02-01,2016-02-01,0,2
22,F,U,Private Sector,50,1974-12-01,2016-08-01,0,0
23,M,U,Private Sector,50,1984-06-01,2012-12-01,0,1
24,F,C,Unemployed,20,1984-08-01,2016-06-01,4,7
25,M,C,Self-employed,30,1980-02-01,2016-05-01,2,1
26,F,C,Private Sector,40,1986-08-01,2014-05-01,2,0
27,M,J,Private Sector,30,1987-01-01,2015-07-01,2,7
28,M,U,Private Sector,20,1985-04-01,2014-10-01,1,0
29,M,U,Public Sector,10,1972-02-01,2013-05-01,0,1
30,M,U,Self-employed,60,1985-11-01,2014-05-01,0,0
31,M,C,Private Sector,10,1984-10-01,2014-03-01,0,4
32,M,O,Self-employed,10,1987-07-01,2015-08-01,1,2
33,F,C,Private Sector,40,1976-01-01,2016-05-01,5,0
34,F,M,Private Sector,10,1985-06-01,2015-10-01,0,2
35,M,J,Self-employed,30,1982-10-01,2014-06-01,4,1
36,M,U,Private Sector,50,1984-08-01,2012-08-01,5,2
37,M,U,Private Sector,20,1982-06-01,2014-10-01,3,0
38,M,U,Unemployed,10,1986-11-01,2017-03-01,0,0
39,M,U,Unemployed,30,1983-03-01,2016-01-01,0,4
40,M,C,Self-employed,20,1978-08-01,2014-12-01,0,0
41,M,O,Private Sector,30,1981-07-01,2016-05-01,1,2
42,M,U,Public Sector,50,1984-04-01,2016-09-01,0,1
43,M,M,Private Sector,20,1987-10-01,2013-11-01,0,1
44,F,J,Unemployed,30,1985-02-01,2016-08-01,2,0
45,M,C,Public Sector,60,1976-12-01,2015-04-01,0,0
46,M,U,Private Sector,80,1977-03-01,2014-05-01,1,0
47,M,J,Public Sector,30,1969-03-01,2013-04-01,4,0
48,M,C,Private Sector,60,1982-08-01,2017-01-01,1,0
49,F,O,Public Sector,30,1984-10-01,2013-04-01,0,7
50,M,C,Public Sector,10,1986-11-01,2016-10-01,2,4
51,M,U,Unemployed,10,1985-02-01,2014-01-01,3,2
52,F,U,Self-employed,10,1978-03-01,2015-02-01,0,4
53,M,O,Private Sector,50,1990-05-01,2016-04-01,0,4
54,M,U,Private Sector,50,1991-04-01,2015-11-01,0,0
55,F,C,Public Sector,30,1985-11-01,2014-08-01,5,1
56,F,U,Self-employed,30,1982-11-01,2015-04-01,2,1
57,M,U,Unemployed,40,1990-11-01,2016-10-01,0,0
58,M,C,Private Sector,10,1985-05-01,2017-04-01,0,0
59,M,M,Private Sector,10,1983-09-01,2014-07-01,0,1
60,F,O,Unemployed,30,1975-08-01,2016-08-01,0,0
61,M,C,Unemployed,30,1975-05-01,2013-07-01,1,0
62,M,J,Unemployed,20,1978-06-01,2013-07-01,0,0
63,M,O,Self-employed,20,1983-08-01,2015-01-01,1,0
64,M,C,Private Sector,80,1985-08-01,2014-12-01,5,0
65,M,M,Unemployed,20,1993-01-01,2013-11-01,1,0
66,M,C,Private Sector,40,1974-07-01,2015-09-01,0,0
67,F,U,Public Sector,10,1981-01-01,2015-02-01,1,0
68,M,J,Unemployed,10,1974-03-01,2016-02-01,2,6
69,M,M,Private Sector,20,1995-06-01,2014-07-01,0,1
70,M,U,Private Sector,30,1975-09-01,2015-09-01,3,0
71,M,U,Unemployed,70,1985-04-01,2016-02-01,5,3
72,M,C,Private Sector,10,1965-07-01,2016-05-01,1,7
73,F,J,Private Sector,50,1983-12-01,2016-08-01,1,0
74,F,C,Private Sector,50,1998-06-01,2017-09-01,1,2
75,M,O,Public Sector,80,1976-08-01,2015-03-01,0,4
76,M,U,Private Sector,20,1987-12-01,2015-05-01,0,2
77,F,M,Public Sector,80,1979-05-01,2014-12-01,0,2
78,M,M,Private Sector,40,1985-10-01,2016-09-01,0,0
79,M,U,Unemployed,40,1985-09-01,2016-09-01,2,7
80,F,C,Self-employed,10,1979-12-01,2017-08-01,3,0
81,M,U,Unemployed,30,1992-10-01,2015-08-01,0,0
82,M,M,Unemployed,50,1982-06-01,2015-04-01,0,0
83,M,U,Unemployed,60,1986-08-01,2014-09-01,4,0
84,M,U,Private Sector,70,1989-07-01,2016-11-01,0,0
85,M,U,Private Sector,10,1982-11-01,2014-02-01,3,0
86,M,M,Private Sector,40,1981-03-01,2012-09-01,0,6
87,F,U,Self-employed,40,1980-03-01,2014-11-01,0,0
88,M,C,Private Sector,60,1970-07-01,2017-06-01,0,2
89,M,U,Private Sector,10,1982-03-01,2016-03-01,5,1
90,F,C,Public Sector,20,1981-09-01,2015-10-01,0,1
