loan_id,cust_id,date,loan_reason,loan_term,requested_amount,installment,number_loans_accounts,number_accounts
223001,0,2017-09-01,Personal,36,50000,1833.33,0,1
222998,1,2018-09-01,Car,36,10000,352.78,0,1
222995,2,2016-04-01,Financial,24,5000,287.5,0,1
222992,3,2016-08-01,Car,24,7000,370.42,0,1
222989,4,2017-06-01,Car,72,4000,70.56,1,1
222986,5,2018-04-01,Car,48,10000,264.58,2,1
222983,6,2018-06-01,Personal,36,12000,440.0,0,4
222980,7,2016-07-01,Car,60,10000,211.67,1,1
222977,8,2016-08-01,Housing,36,7000,223.61,0,1
222974,9,2016-08-01,Financial,72,12000,230.0,0,1
222971,10,2018-05-01,Car,60,10000,211.67,0,2
222968,11,2018-11-01,Car,48,10000,264.58,0,1
222965,12,2016-12-01,Housing,36,2000,159.72,0,1
222962,13,2018-04-01,Financial,48,25000,718.75,0,2
222959,14,2018-02-01,Car,24,5000,264.58,1,2
222956,15,2016-01-01,Financial,36,10000,383.33,0,1
222953,16,2016-02-01,Housing,48,25000,598.96,0,1
222950,17,2016-12-01,Housing,48,25000,598.96,0,1
222947,18,2016-12-01,Personal,36,12000,440.0,0,2
222944,19,2018-01-01,Personal,36,10000,366.67,0,1
222941,20,2016-02-01,Housing,24,10000,479.17,2,1
222938,21,2018-02-01,Personal,36,7000,256.67,1,1
222935,22,2017-12-01,Housing,72,20000,319.44,0,1
222932,23,2016-06-01,Housing,36,15000,479.17,0,2
222929,24,2017-08-01,Car,72,15000,264.58,0,1
222926,25,2017-02-01,Housing,72,10000,159.72,0,1
222923,26,2017-08-01,Personal,48,7000,192.5,0,3
222920,27,2018-01-01,Housing,72,7000,111.81,1,1
222917,28,2018-04-01,Car,24,5000,264.58,1,1
222914,29,2016-02-01,Personal,60,10000,220.0,0,2
222911,30,2016-11-01,Financial,24,4000,230.0,0,1
222908,31,2016-10-01,Personal,48,15000,412.5,0,1
222905,32,2017-07-01,Personal,36,15000,550.0,0,1
222902,33,2017-01-01,Car,24,7000,370.42,1,1
222899,34,2018-06-01,Housing,36,10000,383.33,1,1
222896,35,2017-10-01,Housing,48,15000,359.38,0,2
222893,36,2016-08-01,Personal,36,10000,366.67,0,1
222890,37,2017-06-01,Car,36,7000,246.94,0,3
222887,38,2017-11-01,Car,48,10000,264.58,0,1
222884,39,2017-03-01,Financial,72,12000,230.0,0,1
222881,40,2017-08-01,Personal,48,10000,275.0,0,1
222878,41,2018-07-01,Personal,48,4000,110.0,1,2
222875,42,2017-04-01,Financial,60,12000,276.0,4,1
222872,43,2016-10-01,Financial,60,7000,161.0,0,1
222869,44,2018-02-01,Housing,36,25000,798.61,0,1
222866,45,2017-12-01,Personal,48,10000,275.0,0,2
222863,46,2016-03-01,Car,24,7000,370.42,0,1
222860,47,2016-03-01,Personal,36,7000,256.67,0,1
222857,48,2017-08-01,Car,24,10000,529.17,0,1
222854,49,2016-10-01,Personal,36,10000,366.67,0,1
222851,50,2018-11-01,Housing,60,7000,134.17,0,1
222848,51,2017-02-01,Personal,60,7000,154.0,0,1
222845,52,2016-03-01,Personal,72,7000,128.33,1,1
222842,53,2017-05-01,Car,36,50000,1763.89,1,1
222839,54,2017-04-01,Housing,24,10000,479.17,0,1
222836,55,2017-11-01,Car,36,15000,529.17,0,3
222833,56,2018-11-01,Financial,48,10000,287.5,0,2
222830,57,2018-11-01,Housing,48,7000,167.71,0,1
222827,58,2018-05-01,Car,60,12000,254.0,1,1
222824,59,2017-09-01,Financial,36,10000,383.33,0,1
222821,60,2017-08-01,Housing,48,10000,239.58,0,1
222818,61,2016-05-01,Personal,72,7000,128.33,0,1
222815,62,2017-06-01,Housing,48,12000,287.5,0,2
222812,63,2016-08-01,Car,48,10000,264.58,0,1
222809,64,2017-08-01,Personal,60,7000,154.0,1,1
222806,65,2016-01-01,Car,48,10000,264.58,0,1
222803,66,2017-07-01,Financial,72,12000,230.0,0,2
222800,67,2016-01-01,Financial,48,10000,287.5,1,1
222797,68,2018-03-01,Financial,48,30000,862.5,0,1
222794,69,2017-06-01,Personal,36,10000,550.0,1,2
222791,70,2018-09-01,Car,72,20000,352.78,0,1
222788,71,2018-04-01,Car,72,10000,176.39,0,1
222785,72,2018-07-01,Car,48,15000,396.88,0,3
222782,73,2017-12-01,Car,48,10000,264.58,0,2
222779,74,2018-06-01,Housing,72,25000,399.31,1,1
222776,75,2018-08-01,Car,36,15000,529.17,0,1
222773,76,2018-12-01,Car,24,10000,529.17,0,3
222770,77,2017-05-01,Car,24,10000,529.17,0,1
222767,78,2018-10-01,Car,36,7000,246.94,0,1
222764,79,2017-09-01,Housing,24,12000,575.0,0,1
222761,80,2018-12-01,Financial,24,5000,287.5,0,2
222758,81,2018-10-01,Personal,36,10000,366.67,1,1
222755,82,2017-06-01,Personal,72,2000,91.67,1,1
222752,83,2016-08-01,Car,48,4000,105.83,0,1
222749,84,2018-07-01,Car,72,10000,176.39,0,2
222746,85,2017-11-01,Car,72,10000,176.39,1,3
222743,86,2016-03-01,Housing,60,10000,191.67,1,1
222740,87,2018-03-01,Financial,48,15000,431.25,0,1
222737,88,2018-07-01,Housing,72,4000,63.89,0,1
222734,89,2017-03-01,Car,72,12000,211.67,3,1
222731,90,2016-09-01,Financial,48,12000,345.0,0,1
222728,91,2016-01-01,Car,36,10000,352.78,0,3
222725,92,2018-08-01,Car,48,7000,185.21,0,2
222722,93,2016-01-01,Financial,36,30000,1150.0,0,1
222719,94,2017-02-01,Housing,36,25000,798.61,0,1
222716,95,2018-01-01,Housing,72,10000,159.72,0,1
222713,96,2017-01-01,Personal,72,7000,128.33,0,1
222710,97,2016-02-01,Car,36,15000,529.17,0,1
222707,98,2018-09-01,Personal,36,10000,366.67,0,1
222704,99,2018-02-01,Car,36,15000,529.17,0,2
222701,100,2016-12-01,Car,36,7000,246.94,0,1
222698,101,2016-12-01,Personal,48,10000,275.0,0,1
222695,102,2018-09-01,Personal,48,12000,330.0,0,1
222692,103,2017-10-01,Car,36,25000,881.94,0,1
222689,104,2017-12-01,Personal,48,7000,192.5,0,2
222686,105,2016-10-01,Financial,24,5000,287.5,0,2
222683,106,2018-09-01,Personal,48,10000,275.0,1,1
222680,107,2016-01-01,Personal,36,50000,1833.33,0,2
222677,108,2017-09-01,Personal,72,10000,183.33,0,1
222674,109,2018-12-01,Car,60,15000,317.5,0,1
222671,110,2018-10-01,Car,48,25000,661.46,0,1
222668,111,2016-02-01,Housing,48,15000,359.38,1,2
222665,112,2017-11-01,Housing,48,30000,718.75,0,1
222662,113,2016-08-01,Car,72,15000,264.58,0,1
222659,114,2016-03-01,Personal,36,12000,440.0,0,1
222656,115,2017-07-01,Car,36,7000,246.94,0,3
222653,116,2018-06-01,Personal,36,10000,366.67,1,1
222650,117,2017-11-01,Financial,36,7000,268.33,0,1
222647,118,2017-09-01,Housing,72,25000,399.31,3,3
222644,119,2017-05-01,Car,72,12000,211.67,0,1
222641,120,2016-08-01,Financial,36,7000,268.33,0,2
222638,121,2016-06-01,Financial,72,10000,191.67,2,1
222635,122,2016-12-01,Financial,48,30000,862.5,0,1
222632,123,2018-07-01,Car,48,10000,264.58,0,1
222629,124,2017-04-01,Personal,72,10000,183.33,0,1
222626,125,2017-05-01,Personal,48,5000,137.5,2,2
222623,126,2017-12-01,Housing,24,12000,575.0,0,1
222620,127,2017-08-01,Housing,72,10000,159.72,1,1
222617,128,2016-05-01,Car,36,15000,529.17,0,1
222614,129,2018-01-01,Housing,72,30000,479.17,2,1
222611,130,2018-02-01,Personal,48,10000,275.0,1,1
222608,131,2018-10-01,Car,72,30000,529.17,0,1
222605,132,2017-10-01,Housing,24,12000,575.0,0,1
222602,133,2016-11-01,Financial,48,30000,862.5,3,1
222599,134,2016-08-01,Personal,36,4000,146.67,0,1
222596,135,2017-08-01,Car,36,10000,352.78,3,1
222593,136,2017-07-01,Personal,36,15000,550.0,0,3
222590,137,2017-07-01,Housing,36,10000,319.44,1,1
222587,138,2017-04-01,Car,48,7000,185.21,0,1
222584,139,2017-05-01,Housing,48,10000,239.58,0,1
222581,140,2018-06-01,Car,24,7000,370.42,0,1
222578,141,2016-08-01,Financial,24,25000,1437.5,0,3
222575,142,2017-03-01,Car,72,15000,264.58,0,1
222572,143,2017-07-01,Car,48,30000,793.75,0,1
222569,144,2017-07-01,Car,48,10000,264.58,0,2
222566,145,2018-09-01,Housing,36,5000,159.72,0,2
222563,146,2018-05-01,Car,72,30000,529.17,0,1
222560,147,2018-07-01,Car,36,25000,881.94,0,1
222557,148,2018-06-01,Personal,48,15000,412.5,0,1
222554,149,2018-04-01,Car,24,7000,370.42,1,3
222551,150,2018-08-01,Housing,24,4000,191.67,0,1
222548,151,2016-12-01,Personal,48,7000,192.5,0,1
222545,152,2018-05-01,Car,60,7000,148.17,0,1
222542,153,2017-12-01,Car,48,12000,317.5,0,3
222539,154,2018-04-01,Personal,72,10000,183.33,0,2
222536,155,2018-05-01,Personal,48,10000,275.0,1,3
222533,156,2017-04-01,Housing,48,15000,359.38,0,1
222530,157,2017-05-01,Financial,60,4000,92.0,0,2
222527,158,2018-06-01,Car,72,12000,211.67,0,3
222524,159,2016-07-01,Housing,24,30000,1437.5,1,1
222521,160,2018-10-01,Personal,36,12000,440.0,0,1
222518,161,2016-06-01,Car,48,10000,264.58,0,2
