loan_id,start_date,end_date
222998,2018-10-01,2019-02-01
222992,2016-11-01,2017-03-01
222986,2018-06-01,2018-09-01
222980,2017-01-01,2017-04-01
222974,2016-11-01,2017-02-01
222956,2016-11-01,2016-12-01
222953,2016-07-01,2016-10-01
222950,2017-01-01,2017-03-01
222947,2017-05-01,2017-07-01
222929,2017-11-01,2018-03-01
222920,2018-05-01,2018-09-01
222908,2017-02-01,2017-06-01
222896,2018-07-01,2018-08-01
222884,2017-12-01,2018-03-01
222872,2017-04-01,2017-07-01
222854,2017-01-01,2017-05-01
222851,2019-06-01,2019-09-01
222845,2016-10-01,2017-01-01
222842,2017-12-01,2018-03-01
222836,2018-04-01,2018-07-01
222833,2019-01-01,2019-02-01
222824,2018-06-01,2018-07-01
222797,2018-06-01,2018-08-01
222788,2018-10-01,2018-12-01
222785,2019-05-01,2019-09-01
222776,2018-11-01,2019-02-01
222764,2018-06-01,2018-10-01
222743,2016-11-01,2017-03-01
222734,2017-11-01,2018-03-01
222728,2016-06-01,2016-08-01
222719,2017-05-01,2017-07-01
222707,2019-02-01,2019-06-01
222704,2018-12-01,2019-04-01
222698,2017-01-01,2017-04-01
222686,2017-08-01,2017-09-01
222671,2019-08-01,2019-11-01
222668,2016-08-01,2016-12-01
222662,2016-12-01,2017-03-01
222656,2017-08-01,2017-09-01
222635,2017-10-01,2018-02-01
222626,2017-07-01,2017-10-01
222620,2018-02-01,2018-04-01
222611,2018-04-01,2018-05-01
222608,2019-02-01,2019-06-01
222590,2018-03-01,2018-06-01
222569,2017-12-01,2018-03-01
222560,2019-03-01,2019-05-01
222557,2019-03-01,2019-06-01
222542,2018-06-01,2018-09-01
222539,2018-10-01,2019-01-01
222530,2017-11-01,2018-01-01
222524,2017-04-01,2017-08-01
222521,2019-08-01,2019-11-01
222515,2019-02-01,2019-03-01
222503,2016-07-01,2016-10-01
222497,2017-02-01,2017-03-01
222494,2017-05-01,2017-08-01
222464,2018-12-01,2019-03-01
222449,2018-11-01,2018-12-01
222446,2019-07-01,2019-10-01
222443,2016-05-01,2016-08-01
222422,2017-08-01,2017-12-01
222419,2016-05-01,2016-06-01
222416,2017-01-01,2017-05-01
222401,2018-02-01,2018-03-01
222395,2019-06-01,2019-09-01
222371,2019-02-01,2019-05-01
222353,2018-09-01,2018-12-01
222347,2019-02-01,2019-06-01
222344,2016-06-01,2016-07-01
222341,2017-09-01,2017-12-01
222332,2019-05-01,2019-06-01
222317,2018-01-01,2018-02-01
222314,2018-11-01,2018-12-01
222308,2019-06-01,2019-10-01
222302,2018-02-01,2018-06-01
222287,2017-07-01,2017-10-01
222284,2017-03-01,2017-06-01
222278,2016-12-01,2017-02-01
222266,2019-02-01,2019-04-01
222263,2018-06-01,2018-09-01
222251,2017-08-01,2017-12-01
222248,2016-11-01,2017-02-01
222227,2017-11-01,2018-03-01
222221,2017-04-01,2017-07-01
222218,2017-11-01,2018-02-01
222215,2019-08-01,2019-11-01
222203,2019-01-01,2019-05-01
222197,2018-12-01,2019-01-01
222191,2018-02-01,2018-05-01
222185,2016-09-01,2017-01-01
222179,2018-07-01,2018-11-01
222176,2018-05-01,2018-08-01
222167,2016-09-01,2016-10-01
222164,2019-04-01,2019-07-01
222161,2017-04-01,2017-06-01
222155,2017-05-01,2017-07-01
222149,2018-04-01,2018-07-01
222146,2018-02-01,2018-06-01
222137,2018-02-01,2018-03-01
222134,2017-04-01,2017-07-01
222110,2017-04-01,2017-06-01
222107,2016-08-01,2016-12-01
222104,2017-02-01,2017-03-01
222098,2016-12-01,2017-04-01
222092,2016-09-01,2016-12-01
222086,2016-12-01,2017-02-01
222077,2017-11-01,2018-03-01
222068,2016-10-01,2017-02-01
222053,2018-05-01,2018-09-01
222047,2018-10-01,2019-02-01
222041,2017-08-01,2017-11-01
222038,2017-05-01,2017-07-01
222014,2017-08-01,2017-12-01
222011,2016-03-01,2016-06-01
222008,2018-03-01,2018-05-01
222002,2016-07-01,2016-10-01
221999,2017-06-01,2017-08-01
221990,2019-08-01,2019-10-01
221984,2017-11-01,2018-01-01
221972,2017-12-01,2018-02-01
221960,2017-10-01,2018-01-01
221945,2017-01-01,2017-02-01
221933,2017-02-01,2017-03-01
221930,2016-10-01,2017-02-01
221918,2017-06-01,2017-10-01
221915,2018-07-01,2018-10-01
221900,2016-12-01,2017-02-01
221888,2018-07-01,2018-11-01
221873,2017-05-01,2017-09-01
221852,2017-05-01,2017-08-01
221846,2017-01-01,2017-03-01
221843,2016-10-01,2017-02-01
221840,2019-04-01,2019-08-01
221822,2018-12-01,2019-01-01
221813,2016-02-01,2016-05-01
221810,2016-11-01,2017-03-01
221804,2017-04-01,2017-05-01
221801,2018-02-01,2018-05-01
221792,2019-10-01,2020-02-01
221789,2018-11-01,2019-01-01
221783,2017-07-01,2017-08-01
221780,2018-09-01,2018-11-01
221774,2017-02-01,2017-04-01
221759,2017-03-01,2017-06-01
221744,2017-06-01,2017-09-01
221720,2017-04-01,2017-05-01
221717,2018-07-01,2018-08-01
221711,2018-12-01,2019-03-01
221708,2017-12-01,2018-03-01
221699,2017-02-01,2017-03-01
221693,2018-08-01,2018-11-01
221690,2019-04-01,2019-08-01
221687,2017-05-01,2017-08-01
221675,2017-05-01,2017-08-01
221666,2017-03-01,2017-04-01
221663,2017-04-01,2017-07-01
221657,2018-06-01,2018-08-01
221654,2018-09-01,2018-12-01
221651,2016-09-01,2016-11-01
221648,2016-06-01,2016-09-01
221624,2017-08-01,2017-11-01
221615,2017-07-01,2017-09-01
221612,2019-03-01,2019-06-01
221597,2016-10-01,2017-02-01
221579,2017-05-01,2017-09-01
221576,2017-02-01,2017-06-01
221573,2016-04-01,2016-07-01
221570,2017-04-01,2017-07-01
221564,2017-12-01,2018-02-01
221561,2017-04-01,2017-08-01
221552,2018-12-01,2019-03-01
221549,2019-04-01,2019-07-01
221531,2018-04-01,2018-08-01
221519,2019-02-01,2019-06-01
221513,2018-12-01,2019-01-01
221510,2018-05-01,2018-09-01
221507,2018-09-01,2019-01-01
221498,2016-12-01,2017-02-01
221495,2018-09-01,2019-01-01
221483,2017-05-01,2017-09-01
221474,2018-05-01,2018-08-01
221471,2018-05-01,2018-07-01
221462,2017-05-01,2017-09-01
221450,2017-11-01,2018-01-01
221438,2017-07-01,2017-10-01
221435,2018-02-01,2018-03-01
221420,2017-11-01,2017-12-01
221417,2017-06-01,2017-09-01
221414,2018-04-01,2018-07-01
221408,2017-06-01,2017-10-01
221402,2017-07-01,2017-09-01
221384,2018-07-01,2018-10-01
221375,2017-03-01,2017-06-01
221342,2019-02-01,2019-03-01
221339,2019-02-01,2019-06-01
221336,2017-07-01,2017-08-01
221327,2018-06-01,2018-07-01
221324,2016-12-01,2017-04-01
221321,2016-05-01,2016-09-01
221312,2016-12-01,2017-03-01
221306,2017-03-01,2017-04-01
221303,2019-02-01,2019-05-01
221294,2018-04-01,2018-06-01
221285,2018-05-01,2018-09-01
221273,2017-03-01,2017-04-01
221267,2017-07-01,2017-10-01
221261,2017-01-01,2017-05-01
221252,2016-06-01,2016-09-01
221237,2019-02-01,2019-05-01
221228,2018-10-01,2019-02-01
221219,2017-10-01,2018-02-01
221213,2018-11-01,2019-02-01
221192,2018-09-01,2018-11-01
221180,2018-09-01,2018-10-01
221177,2017-08-01,2017-11-01
221174,2016-03-01,2016-06-01
221165,2018-07-01,2018-08-01
221159,2018-04-01,2018-07-01
221144,2016-11-01,2016-12-01
221123,2016-08-01,2016-11-01
221108,2018-01-01,2018-03-01
221090,2017-09-01,2017-10-01
221087,2016-06-01,2016-08-01
221084,2018-10-01,2019-02-01
221069,2016-11-01,2017-01-01
221063,2017-11-01,2018-01-01
221060,2019-08-01,2019-11-01
221057,2018-06-01,2018-09-01
221054,2017-02-01,2017-05-01
221045,2018-01-01,2018-04-01
221036,2018-05-01,2018-07-01
221030,2016-11-01,2017-03-01
221024,2017-04-01,2017-08-01
221021,2019-02-01,2019-05-01
221015,2018-05-01,2018-06-01
220994,2016-05-01,2016-06-01
220982,2016-12-01,2017-04-01
220979,2017-08-01,2017-10-01
220973,2017-11-01,2018-03-01
220967,2017-03-01,2017-06-01
220958,2017-03-01,2017-04-01
220955,2018-04-01,2018-06-01
220943,2017-05-01,2017-09-01
220940,2018-07-01,2018-10-01
220937,2018-04-01,2018-08-01
220934,2018-06-01,2018-07-01
220931,2017-09-01,2017-12-01
220928,2017-12-01,2018-04-01
220922,2017-11-01,2018-03-01
220913,2017-12-01,2018-04-01
220907,2018-08-01,2018-11-01
220904,2016-10-01,2016-12-01
220898,2018-11-01,2019-03-01
220895,2017-02-01,2017-05-01
220892,2017-08-01,2017-11-01
220886,2017-09-01,2018-01-01
220880,2017-02-01,2017-05-01
220874,2017-02-01,2017-06-01
220871,2017-04-01,2017-08-01
220865,2019-04-01,2019-05-01
220859,2018-05-01,2018-09-01
220850,2017-04-01,2017-07-01
220847,2016-10-01,2017-01-01
220835,2019-02-01,2019-03-01
220829,2016-11-01,2017-01-01
220826,2016-12-01,2017-04-01
220817,2016-11-01,2017-01-01
220802,2017-08-01,2017-10-01
220784,2016-08-01,2016-10-01
220775,2017-11-01,2017-12-01
220751,2018-05-01,2018-08-01
220748,2018-04-01,2018-05-01
220739,2016-08-01,2016-10-01
220736,2019-02-01,2019-05-01
220730,2016-11-01,2017-03-01
220724,2018-11-01,2018-12-01
220709,2017-12-01,2018-02-01
220700,2019-02-01,2019-06-01
220694,2018-11-01,2019-01-01
220691,2018-04-01,2018-05-01
220688,2019-05-01,2019-06-01
220679,2017-08-01,2017-09-01
220667,2016-11-01,2017-01-01
220658,2016-12-01,2017-04-01
220652,2018-06-01,2018-07-01
220646,2019-05-01,2019-09-01
220622,2018-04-01,2018-05-01
220619,2019-03-01,2019-04-01
220616,2018-08-01,2018-09-01
220604,2018-08-01,2018-09-01
220595,2016-06-01,2016-09-01
220586,2018-02-01,2018-05-01
220571,2017-07-01,2017-08-01
220565,2017-03-01,2017-05-01
220559,2018-05-01,2018-06-01
220547,2019-05-01,2019-06-01
220535,2016-11-01,2017-02-01
220526,2017-11-01,2018-02-01
220523,2016-12-01,2017-03-01
220520,2018-09-01,2018-12-01
220514,2017-10-01,2018-02-01
220505,2016-05-01,2016-08-01
220493,2017-02-01,2017-06-01
220487,2017-04-01,2017-07-01
220481,2018-05-01,2018-09-01
220478,2019-04-01,2019-07-01
220475,2017-05-01,2017-07-01
220469,2019-04-01,2019-06-01
220460,2018-04-01,2018-07-01
220448,2019-03-01,2019-05-01
220445,2016-08-01,2016-10-01
220439,2018-07-01,2018-08-01
220436,2016-05-01,2016-09-01
220433,2017-06-01,2017-09-01
220430,2018-02-01,2018-05-01
220421,2016-11-01,2017-03-01
220418,2018-08-01,2018-11-01
220409,2017-05-01,2017-06-01
220400,2017-07-01,2017-11-01
220388,2017-09-01,2017-11-01
220379,2016-11-01,2017-03-01
220376,2016-06-01,2016-07-01
220370,2018-02-01,2018-06-01
220367,2016-09-01,2017-01-01
220358,2018-05-01,2018-08-01
220355,2017-05-01,2017-07-01
220343,2018-10-01,2019-02-01
220328,2018-11-01,2019-02-01
220310,2016-09-01,2016-10-01
220307,2019-03-01,2019-04-01
220301,2016-09-01,2016-12-01
220283,2017-09-01,2017-12-01
220271,2016-06-01,2016-10-01
220259,2018-04-01,2018-07-01
220244,2017-06-01,2017-10-01
220241,2019-01-01,2019-03-01
220235,2017-06-01,2017-09-01
220232,2017-08-01,2017-11-01
220226,2018-08-01,2018-12-01
220223,2018-01-01,2018-04-01
220208,2016-03-01,2016-07-01
220205,2016-10-01,2016-11-01
220193,2017-06-01,2017-07-01
220187,2017-09-01,2017-10-01
220175,2016-08-01,2016-11-01
220172,2017-08-01,2017-11-01
220166,2019-04-01,2019-05-01
220154,2017-11-01,2017-12-01
220127,2017-08-01,2017-09-01
220121,2017-12-01,2018-03-01
220115,2016-06-01,2016-08-01
220109,2016-03-01,2016-05-01
220094,2018-05-01,2018-06-01
220088,2017-07-01,2017-09-01
220082,2017-01-01,2017-05-01
220064,2017-02-01,2017-05-01
220061,2018-10-01,2018-12-01
220058,2017-10-01,2018-01-01
220049,2017-05-01,2017-08-01
220046,2016-05-01,2016-06-01
220040,2017-10-01,2017-11-01
220028,2017-04-01,2017-06-01
220022,2019-02-01,2019-03-01
220016,2018-12-01,2019-03-01
220013,2017-10-01,2018-01-01
220004,2016-08-01,2016-09-01
220001,2017-06-01,2017-10-01
219998,2017-01-01,2017-02-01
219995,2017-08-01,2017-12-01
219989,2016-11-01,2017-03-01
219983,2017-08-01,2017-12-01
219980,2018-04-01,2018-07-01
219968,2017-10-01,2017-11-01
219953,2016-09-01,2016-12-01
219950,2018-09-01,2019-01-01
219947,2018-01-01,2018-05-01
219944,2016-11-01,2016-12-01
219938,2018-03-01,2018-07-01
219935,2019-03-01,2019-07-01
219932,2019-02-01,2019-05-01
219926,2018-06-01,2018-09-01
219923,2018-01-01,2018-02-01
219914,2016-08-01,2016-11-01
219878,2017-11-01,2017-12-01
219875,2018-07-01,2018-09-01
219869,2019-03-01,2019-06-01
219866,2018-04-01,2018-08-01
219857,2016-12-01,2017-04-01
219848,2017-12-01,2018-03-01
219839,2017-10-01,2017-11-01
219836,2018-05-01,2018-07-01
219833,2017-04-01,2017-05-01
219827,2017-03-01,2017-06-01
219821,2016-11-01,2017-03-01
219818,2019-02-01,2019-04-01
219812,2017-03-01,2017-06-01
219809,2017-05-01,2017-07-01
219803,2018-01-01,2018-05-01
219800,2017-10-01,2018-02-01
219794,2018-05-01,2018-07-01
219785,2018-10-01,2018-12-01
219776,2019-02-01,2019-03-01
219770,2018-03-01,2018-04-01
219764,2018-09-01,2018-10-01
219749,2019-01-01,2019-02-01
219746,2016-12-01,2017-02-01
219743,2018-03-01,2018-04-01
219737,2018-01-01,2018-05-01
219734,2018-09-01,2018-10-01
219731,2016-08-01,2016-12-01
219725,2019-01-01,2019-04-01
219713,2018-04-01,2018-07-01
219710,2019-02-01,2019-05-01
219707,2017-03-01,2017-06-01
219689,2016-11-01,2017-01-01
219686,2017-11-01,2018-02-01
219683,2018-04-01,2018-07-01
219677,2019-02-01,2019-06-01
219674,2019-01-01,2019-02-01
219656,2018-02-01,2018-04-01
219653,2017-08-01,2017-11-01
219638,2016-07-01,2016-10-01
219611,2016-12-01,2017-04-01
219608,2016-12-01,2017-03-01
219605,2017-08-01,2017-09-01
219599,2018-09-01,2018-10-01
219584,2016-09-01,2016-11-01
219569,2017-06-01,2017-07-01
219563,2016-06-01,2016-08-01
219557,2019-08-01,2019-12-01
219554,2018-06-01,2018-08-01
219548,2018-10-01,2018-12-01
219542,2018-06-01,2018-09-01
219539,2016-08-01,2016-10-01
219521,2019-02-01,2019-06-01
219515,2017-09-01,2017-12-01
219509,2017-10-01,2018-02-01
219506,2017-02-01,2017-05-01
219497,2018-01-01,2018-03-01
219491,2017-01-01,2017-04-01
219488,2017-01-01,2017-05-01
219485,2017-07-01,2017-10-01
219479,2017-10-01,2018-01-01
219473,2016-07-01,2016-08-01
219470,2018-01-01,2018-04-01
219464,2017-05-01,2017-07-01
219455,2019-05-01,2019-08-01
219449,2019-07-01,2019-10-01
219446,2016-12-01,2017-03-01
219443,2017-10-01,2018-02-01
219431,2019-06-01,2019-07-01
219425,2018-05-01,2018-06-01
219419,2017-04-01,2017-07-01
219410,2019-03-01,2019-07-01
219407,2017-03-01,2017-06-01
219401,2018-06-01,2018-08-01
219398,2016-12-01,2017-03-01
219392,2018-03-01,2018-06-01
219377,2018-10-01,2019-01-01
219371,2018-10-01,2018-11-01
219365,2018-10-01,2018-12-01
219362,2019-07-01,2019-09-01
219359,2017-04-01,2017-08-01
219353,2017-04-01,2017-06-01
219338,2016-10-01,2017-01-01
219332,2016-10-01,2016-12-01
219326,2016-12-01,2017-03-01
219317,2018-02-01,2018-06-01
219311,2016-05-01,2016-08-01
219287,2016-04-01,2016-07-01
219284,2018-01-01,2018-05-01
219269,2018-07-01,2018-10-01
219260,2019-03-01,2019-06-01
219248,2018-01-01,2018-05-01
219245,2018-05-01,2018-07-01
219230,2018-04-01,2018-06-01
219224,2017-06-01,2017-09-01
219209,2017-10-01,2018-01-01
219206,2017-09-01,2017-10-01
219197,2019-05-01,2019-08-01
219191,2016-09-01,2016-12-01
219185,2017-04-01,2017-07-01
219182,2018-01-01,2018-04-01
219170,2017-07-01,2017-10-01
219155,2018-07-01,2018-08-01
219152,2017-06-01,2017-09-01
219149,2018-06-01,2018-09-01
219143,2019-08-01,2019-12-01
219137,2018-02-01,2018-05-01
219125,2017-05-01,2017-09-01
219122,2018-06-01,2018-08-01
219116,2018-07-01,2018-10-01
219113,2017-12-01,2018-04-01
219107,2016-11-01,2017-02-01
219104,2018-07-01,2018-08-01
219095,2017-02-01,2017-06-01
219074,2017-11-01,2018-03-01
219068,2018-11-01,2019-03-01
219059,2016-11-01,2017-02-01
219056,2017-09-01,2017-12-01
219053,2016-07-01,2016-11-01
219038,2017-02-01,2017-03-01
219032,2018-02-01,2018-03-01
219011,2018-04-01,2018-06-01
218993,2017-10-01,2018-02-01
218984,2019-01-01,2019-04-01
218963,2017-08-01,2017-12-01
218960,2017-09-01,2017-12-01
218942,2017-10-01,2017-12-01
218927,2017-01-01,2017-05-01
218924,2019-09-01,2019-10-01
218912,2017-04-01,2017-06-01
218909,2016-11-01,2017-02-01
218903,2019-04-01,2019-08-01
218894,2019-02-01,2019-03-01
218879,2017-04-01,2017-08-01
218867,2017-02-01,2017-03-01
218864,2019-05-01,2019-08-01
218858,2016-08-01,2016-11-01
218855,2016-11-01,2017-01-01
218852,2017-03-01,2017-07-01
218846,2018-02-01,2018-05-01
218834,2017-07-01,2017-09-01
218831,2018-01-01,2018-05-01
218825,2017-08-01,2017-10-01
218822,2019-07-01,2019-09-01
218819,2017-06-01,2017-10-01
218813,2017-04-01,2017-08-01
218798,2017-03-01,2017-07-01
218795,2016-06-01,2016-07-01
218792,2018-07-01,2018-09-01
218777,2017-11-01,2018-03-01
