cust_id,gender,religion,employment,postal_code,number_client_calls_to_BANK,cat_number_client_calls_from_BANK,age,relationship_length
0,M,U,Public Sector,20,0,0,,
1,M,C,Private Sector,30,0,5,36.0,2.0
2,M,C,Private Sector,20,0,0,42.0,4.0
3,F,J,Unemployed,10,5,5,39.0,3.0
4,M,U,Private Sector,70,0,0,38.0,1.0
5,M,U,Private Sector,20,0,4,40.0,2.0
6,F,U,Private Sector,70,0,0,44.0,4.0
7,F,U,Private Sector,60,5,4,31.0,0.0
8,F,U,Private Sector,10,1,0,34.0,3.0
9,M,U,Self-employed,70,1,1,32.0,0.0
10,M,O,Public Sector,10,2,0,28.0,1.0
11,F,O,Self-employed,50,0,0,35.0,2.0
12,M,M,Private Sector,60,0,0,33.0,0.0
13,M,J,Private Sector,10,0,0,45.0,3.0
14,M,U,Private Sector,50,2,2,33.0,2.0
15,F,C,Private Sector,20,0,1,30.0,2.0
16,M,U,Private Sector,70,2,1,34.0,1.0
17,M,C,Unemployed,40,4,1,40.0,3.0
18,M,U,Public Sector,50,2,1,28.0,0.0
19,M,U,Public Sector,40,2,0,39.0,1.0
20,M,C,Public Sector,80,0,0,28.0,1.0
21,F,U,Public Sector,40,0,2,39.0,2.0
22,F,U,Private Sector,50,0,0,43.0,1.0
23,M,U,Private Sector,50,0,1,32.0,3.0
24,F,C,Unemployed,20,4,5,33.0,1.0
25,M,C,Self-employed,30,2,1,37.0,0.0
26,F,C,Private Sector,40,2,0,31.0,3.0
27,M,J,Private Sector,30,2,5,31.0,2.0
28,M,U,Private Sector,20,1,0,33.0,3.0
29,M,U,Public Sector,10,0,1,44.0,2.0
30,M,U,Self-employed,60,0,0,31.0,2.0
31,M,C,Private Sector,10,0,4,32.0,2.0
32,M,O,Self-employed,10,1,2,30.0,1.0
33,F,C,Private Sector,40,5,0,41.0,0.0
34,F,M,Private Sector,10,0,2,33.0,2.0
35,M,J,Self-employed,30,4,1,35.0,3.0
36,M,U,Private Sector,50,5,2,32.0,4.0
37,M,U,Private Sector,20,3,0,35.0,2.0
38,M,U,Unemployed,10,0,0,31.0,0.0
39,M,U,Unemployed,30,0,4,34.0,1.0
40,M,C,Self-employed,20,0,0,39.0,2.0
41,M,O,Private Sector,30,1,2,37.0,2.0
42,M,U,Public Sector,50,0,1,33.0,0.0
43,M,M,Private Sector,20,0,1,29.0,2.0
