cust_id,average_salary,average_current_acc_balance,average_saving_account_balance,average_credit_card_balance,average_monthly_balance,average_debt_to_income_ratio
0,1333.4461111111111,1904.5997222222222,4470.665277777778,,3187.6325,
1,,1832.2539393939394,,,,
2,,755.23,2786.745,,1770.9875,
3,1584.795,-675.7075,23.57875,,-326.064375,
4,1527.4423529411765,1550.4182352941177,1444.9170588235295,1761.714705882353,1497.6676470588234,1.4966808887335707
5,,1746.097142857143,0.0,,873.0485714285714,
6,1489.5513333333333,1157.2716666666668,1069.9003333333333,,1113.586,
7,1999.0014285714285,444.5128571428572,1925.7557142857145,,1185.1342857142859,
8,1847.3675,1103.29875,400.3175,1456.49375,751.808125,0.7904684113128958
9,2471.985,415.9975,,,,
10,2379.215625,1654.528125,5703.678125,2387.678125,3679.103125,1.0036903224748202
12,2232.4016666666666,2421.403333333333,1693.6075,,2057.5054166666664,
13,1945.439285714286,346.14142857142855,1112.9471428571428,48.55964285714286,729.5442857142858,0.02603567297493042
15,,192.16,1697.6,,944.88,
16,1766.8,1762.5700000000002,753.735,2032.14,1258.1525000000001,1.15016320781504
17,1561.4016666666666,1737.6583333333335,2033.4183333333333,,1885.5383333333332,
18,2583.571111111111,2127.198888888889,0.0,2625.1144444444444,1063.5994444444445,1.1564436225460506
20,2316.6400000000003,453.125,3087.225,4321.955,1770.175,1.8656332186797764
21,2795.4844,446.9192,1742.9008,21.463199999999997,1094.91,0.006663069617502395
22,1538.440588235294,1203.5117647058823,3319.718823529412,,2261.615294117647,
23,1724.0200000000002,777.23,0.0,,388.615,
24,2372.364,1094.1253333333334,834.3413333333334,,964.2333333333333,
25,1857.764,1525.992,1940.3990000000001,2372.719,1733.1955000000003,1.2765619876152212
26,2283.8165,1714.529,2404.174,,2059.3514999999998,
27,1425.0056,-1465.1256,0.0,,-732.5628,
28,,332.49642857142857,3048.597142857143,1426.2364285714286,1690.5467857142855,
29,1632.94,-492.705,4355.155,,1931.225,
30,1702.2854545454545,225.90363636363637,906.5981818181818,2524.878181818182,566.2509090909091,1.4852980297752472
31,3047.3540000000003,-206.05299999999997,171.81199999999998,,-17.120500000000003,
