loan_id,cust_id,loan_reason,requested_amount,payback_amount,installment,cat_number_accounts,cat_number_loans_accounts
222998,1,Car,10000,12700.079999999998,352.78,1,0
222995,2,Financial,5000,6900.0,287.5,1,0
222992,3,Car,7000,8890.08,370.42,1,0
222989,4,Car,4000,5080.32,70.56,1,1
222986,5,Car,10000,12699.84,264.58,1,2
222983,6,Personal,12000,15840.0,440.0,3,0
222980,7,Car,10000,12700.199999999999,211.67,1,1
222977,8,Housing,7000,8049.960000000001,223.61,1,0
222974,9,Financial,12000,16560.0,230.0,1,0
222971,10,Car,10000,12700.199999999999,211.67,2,0
222968,11,Car,10000,12699.84,264.58,1,0
222965,12,Housing,2000,5749.92,159.72,1,0
222962,13,Financial,25000,34500.0,718.75,2,0
222959,14,Car,5000,6349.92,264.58,2,1
222956,15,Financial,10000,13799.88,383.33,1,0
222953,16,Housing,25000,28750.08,598.96,1,0
222950,17,Housing,25000,28750.08,598.96,1,0
222947,18,Personal,12000,15840.0,440.0,2,0
222944,19,Personal,10000,13200.12,366.67,1,0
222941,20,Housing,10000,11500.08,479.17,1,2
222938,21,Personal,7000,9240.12,256.67,1,1
222935,22,Housing,20000,22999.68,319.44,1,0
222932,23,Housing,15000,17250.12,479.17,2,0
222929,24,Car,15000,19049.76,264.58,1,0
222926,25,Housing,10000,11499.84,159.72,1,0
222923,26,Personal,7000,9240.0,192.5,3,0
222920,27,Housing,7000,8050.32,111.81,1,1
222917,28,Car,5000,6349.92,264.58,1,1
222914,29,Personal,10000,13200.0,220.0,2,0
222911,30,Financial,4000,5520.0,230.0,1,0
222908,31,Personal,15000,19800.0,412.5,1,0
222905,32,Personal,15000,19800.0,550.0,1,0
222902,33,Car,7000,8890.08,370.42,1,1
222899,34,Housing,10000,13799.88,383.33,1,1
222896,35,Housing,15000,17250.239999999998,359.38,2,0
222893,36,Personal,10000,13200.12,366.67,1,0
222890,37,Car,7000,8889.84,246.94,3,0
222887,38,Car,10000,12699.84,264.58,1,0
222884,39,Financial,12000,16560.0,230.0,1,0
222881,40,Personal,10000,13200.0,275.0,1,0
222878,41,Personal,4000,5280.0,110.0,2,1
222875,42,Financial,12000,16560.0,276.0,1,2
222872,43,Financial,7000,9660.0,161.0,1,0
222869,44,Housing,25000,28749.96,798.61,1,0
222866,45,Personal,10000,13200.0,275.0,2,0
222863,46,Car,7000,8890.08,370.42,1,0
222860,47,Personal,7000,9240.12,256.67,1,0
222857,48,Car,10000,12700.079999999998,529.17,1,0
222854,49,Personal,10000,13200.12,366.67,1,0
222851,50,Housing,7000,8050.199999999999,134.17,1,0
222848,51,Personal,7000,9240.0,154.0,1,0
222845,52,Personal,7000,9239.76,128.33,1,1
222839,54,Housing,10000,11500.08,479.17,1,0
222836,55,Car,15000,19050.12,529.17,3,0
222833,56,Financial,10000,13800.0,287.5,2,0
222830,57,Housing,7000,8050.08,167.71,1,0
222827,58,Car,12000,15240.0,254.0,1,1
222824,59,Financial,10000,13799.88,383.33,1,0
222821,60,Housing,10000,11499.84,239.58,1,0
222818,61,Personal,7000,9239.76,128.33,1,0
222815,62,Housing,12000,13800.0,287.5,2,0
222812,63,Car,10000,12699.84,264.58,1,0
222809,64,Personal,7000,9240.0,154.0,1,1
222806,65,Car,10000,12699.84,264.58,1,0
222803,66,Financial,12000,16560.0,230.0,2,0
222800,67,Financial,10000,13800.0,287.5,1,1
222794,69,Personal,10000,19800.0,550.0,2,1
222791,70,Car,20000,25400.159999999996,352.78,1,0
222788,71,Car,10000,12700.079999999998,176.39,1,0
222785,72,Car,15000,19050.239999999998,396.88,3,0
222782,73,Car,10000,12699.84,264.58,2,0
222779,74,Housing,25000,28750.32,399.31,1,1
222776,75,Car,15000,19050.12,529.17,1,0
222773,76,Car,10000,12700.079999999998,529.17,3,0
222770,77,Car,10000,12700.079999999998,529.17,1,0
222767,78,Car,7000,8889.84,246.94,1,0
222764,79,Housing,12000,13800.0,575.0,1,0
222761,80,Financial,5000,6900.0,287.5,2,0
222758,81,Personal,10000,13200.12,366.67,1,1
222755,82,Personal,2000,6600.24,91.67,1,1
222752,83,Car,4000,5079.84,105.83,1,0
222749,84,Car,10000,12700.079999999998,176.39,2,0
222746,85,Car,10000,12700.079999999998,176.39,3,1
222743,86,Housing,10000,11500.199999999999,191.67,1,1
222740,87,Financial,15000,20700.0,431.25,1,0
222737,88,Housing,4000,4600.08,63.89,1,0
222734,89,Car,12000,15240.24,211.67,1,2
222731,90,Financial,12000,16560.0,345.0,1,0
222728,91,Car,10000,12700.079999999998,352.78,3,0
222725,92,Car,7000,8890.08,185.21,2,0
222719,94,Housing,25000,28749.96,798.61,1,0
222716,95,Housing,10000,11499.84,159.72,1,0
