loan_id,is_default
222998,1
222992,1
222986,0
222980,0
222974,0
222956,0
222953,0
222950,0
222947,0
222929,1
222920,1
222908,1
222896,0
222884,0
222872,0
222854,1
222851,0
222845,0
222842,0
222836,0
222833,0
222824,0
222797,0
222788,0
222785,1
222776,0
222764,1
222743,1
222734,1
222728,0
222719,0
222707,1
222704,1
222698,0
222686,0
222671,0
222668,1
222662,0
222656,0
222635,1
222626,0
222620,0
222611,0
222608,1
222590,0
222569,0
222560,0
222557,0
222542,0
222539,0
222530,0
222524,1
222521,0
222515,0
222503,0
222497,0
222494,0
222464,0
222449,0
222446,0
222443,0
222422,1
222419,0
222416,1
222401,0
222395,0
222371,0
222353,0
222347,1
222344,0
222341,0
222332,0
222317,0
222314,0
222308,1
222302,1
222287,0
222284,0
222278,0
222266,0
222263,0
222251,1
222248,0
222227,1
222221,0
222218,0
222215,0
222203,1
222197,0
222191,0
222185,1
222179,1
222176,0
222167,0
222164,0
222161,0
222155,0
222149,0
222146,1
222137,0
222134,0
222110,0
222107,1
222104,0
222098,1
222092,0
222086,0
222077,1
222068,1
222053,1
222047,1
222041,0
222038,0
222014,1
222011,0
222008,0
222002,0
221999,0
221990,0
221984,0
221972,0
221960,0
221945,0
221933,0
221930,1
221918,1
221915,0
221900,0
221888,1
221873,1
221852,0
221846,0
221843,1
221840,1
221822,0
221813,0
221810,1
221804,0
221801,0
221792,1
221789,0
221783,0
221780,0
221774,0
221759,0
221744,0
221720,0
221717,0
221711,0
221708,0
221699,0
221693,0
221690,1
221687,0
221675,0
221666,0
221663,0
221657,0
221654,0
221651,0
221648,0
221624,0
221615,0
221612,0
221597,1
221579,1
221576,1
221573,0
221570,0
221564,0
221561,1
221552,0
221549,0
221531,1
221519,1
221513,0
221510,1
221507,1
221498,0
221495,1
221483,1
221474,0
221471,0
221462,1
221450,0
221438,0
221435,0
221420,0
221417,0
221414,0
221408,1
221402,0
221384,0
221375,0
221342,0
221339,1
221336,0
221327,0
221324,1
221321,1
221312,0
221306,0
221303,0
221294,0
221285,1
221273,0
221267,0
221261,1
221252,0
221237,0
221228,1
221219,1
221213,0
221192,0
221180,0
221177,0
221174,0
221165,0
221159,0
221144,0
221123,0
221108,0
221090,0
221087,0
221084,1
221069,0
221063,0
221060,0
221057,0
221054,0
221045,0
221036,0
221030,1
221024,1
221021,0
221015,0
220994,0
220982,1
220979,0
220973,1
220967,0
220958,0
220955,0
220943,1
220940,0
220937,1
220934,0
220931,0
220928,1
220922,1
220913,1
220907,0
220904,0
220898,1
220895,0
220892,0
220886,1
220880,0
220874,1
220871,1
220865,0
220859,1
220850,0
220847,0
220835,0
220829,0
220826,1
220817,0
220802,0
220784,0
220775,0
220751,0
220748,0
220739,0
220736,0
220730,1
220724,0
220709,0
220700,1
220694,0
220691,0
220688,0
220679,0
220667,0
220658,1
220652,0
220646,1
220622,0
220619,0
220616,0
220604,0
220595,0
220586,0
220571,0
220565,0
220559,0
220547,0
220535,0
220526,0
220523,0
220520,0
220514,1
220505,0
220493,1
220487,0
220481,1
220478,0
220475,0
220469,0
220460,0
220448,0
220445,0
220439,0
220436,1
220433,0
220430,0
220421,1
220418,0
220409,0
220400,1
220388,0
220379,1
220376,0
220370,1
220367,1
220358,0
220355,0
220343,1
220328,0
220310,0
220307,0
220301,0
220283,0
220271,1
220259,0
220244,1
220241,0
220235,0
220232,0
220226,1
220223,0
220208,1
220205,0
220193,0
220187,0
220175,0
220172,0
220166,0
220154,0
220127,0
220121,0
220115,0
220109,0
220094,0
220088,0
220082,1
220064,0
220061,0
220058,0
220049,0
220046,0
220040,0
220028,0
220022,0
220016,0
220013,0
220004,0
220001,1
219998,0
219995,1
219989,1
219983,1
219980,0
219968,0
219953,0
219950,1
219947,1
219944,0
219938,1
219935,1
219932,0
219926,0
219923,0
219914,0
219878,0
219875,0
219869,0
219866,1
219857,1
219848,0
219839,0
219836,0
219833,0
219827,0
219821,1
219818,0
219812,0
219809,0
219803,1
219800,1
219794,0
219785,0
219776,0
219770,0
219764,0
219749,0
219746,0
219743,0
219737,1
219734,0
219731,1
219725,0
219713,0
219710,0
219707,0
219689,0
219686,0
219683,0
219677,1
219674,0
219656,0
219653,0
219638,0
219611,1
219608,0
219605,0
219599,0
219584,0
219569,0
219563,0
219557,1
219554,0
219548,0
219542,0
219539,0
219521,1
219515,0
219509,1
219506,0
219497,0
219491,0
219488,1
219485,0
219479,0
219473,0
219470,0
219464,0
219455,0
219449,0
219446,0
219443,1
219431,0
219425,0
219419,0
219410,1
219407,0
219401,0
219398,0
219392,0
219377,0
219371,0
219365,0
219362,0
219359,1
219353,0
219338,0
219332,0
219326,0
219317,1
219311,0
219287,0
219284,1
219269,0
219260,0
219248,1
219245,0
219230,0
219224,0
219209,0
219206,0
219197,0
219191,0
219185,0
219182,0
219170,0
219155,0
219152,0
219149,0
219143,1
219137,0
219125,1
219122,0
219116,0
219113,1
219107,0
219104,0
219095,1
219074,1
219068,1
219059,0
219056,0
219053,1
219038,0
219032,0
219011,0
218993,1
218984,0
218963,1
218960,0
218942,0
218927,1
218924,0
218912,0
218909,0
218903,1
218894,0
218879,1
218867,0
218864,0
218858,0
218855,0
218852,1
218846,0
218834,0
218831,1
218825,0
218822,0
218819,1
218813,1
218798,1
218795,0
218792,0
218777,1
218771,0
218765,1
218762,0
218750,0
218747,0
218735,1
218726,0
218720,0
218717,1
218702,1
218696,0
218693,0
218675,0
218654,0
218648,0
218639,1
218636,0
218612,0
218609,0
218603,0
218591,0
218588,0
218585,0
218582,1
218576,0
218570,0
218567,0
218558,0
218555,1
218552,0
218549,0
218546,0
218543,0
218534,1
218531,1
218519,0
218513,0
218507,0
218504,0
218501,0
218498,0
218483,0
218480,0
218465,0
218456,0
218447,1
218444,0
218420,0
218414,0
218402,0
218399,0
218396,0
218387,0
218381,1
218375,0
218372,0
218369,1
218366,1
218363,0
218357,1
218351,0
218339,0
218336,0
218327,0
218324,0
218309,0
218297,1
218291,0
218285,0
218279,0
218273,0
218270,1
218261,0
218255,0
218237,0
218234,0
218228,0
218213,0
218210,1
218192,1
218186,1
218174,0
218171,0
218153,1
218150,0
218144,0
218141,0
218117,0
218108,0
218096,0
218087,1
218084,0
218078,0
218066,0
218060,0
218054,1
218051,0
218036,0
218033,0
218018,0
218009,0
218003,0
217994,0
217991,0
217988,0
217982,0
217976,0
217967,1
217964,0
217961,0
217955,0
217946,0
217937,1
217928,0
217925,0
217907,0
217898,0
217895,0
217889,0
217880,1
217877,0
217871,0
217868,0
217865,0
217859,0
217853,1
217844,0
217835,1
217826,0
217820,1
217811,0
217808,0
217805,1
217799,0
217790,0
217775,1
217760,0
217757,1
217751,0
217745,0
217742,0
217736,1
217733,0
217730,0
217727,1
217715,0
217712,1
217682,0
217655,1
217646,0
217643,1
217631,1
217625,0
217622,0
217616,0
217604,0
217595,0
217589,1
217586,0
217583,0
217562,0
217559,0
217547,0
217541,1
217538,0
217535,0
217529,0
217526,0
217517,0
217511,0
217508,0
217493,0
217490,0
217484,0
217475,0
217469,0
217463,0
217454,0
217424,0
217406,0
217400,1
217391,0
217376,1
217361,0
217334,1
217331,0
217319,1
217307,1
217298,0
217292,0
217286,1
217280,0
217268,0
217250,1
217241,0
217238,0
217229,0
217223,0
217214,0
217211,0
217208,0
217202,1
217199,0
217196,1
217193,0
217190,0
217187,0
217178,0
217160,1
217151,0
217145,0
217139,0
217136,0
217133,1
217115,0
217112,1
217100,0
217085,0
217082,0
217079,1
217076,0
217070,0
217067,0
217058,0
217055,1
217049,0
217046,1
217040,1
217037,0
217034,1
217031,0
217016,1
217010,0
217007,0
217004,0
217001,0
216998,1
216992,1
216983,0
216974,0
216950,1
216944,1
216935,1
216932,0
216923,1
216920,0
216917,0
216911,1
216908,1
216899,1
216890,0
216887,0
216881,0
216878,1
216869,1
216848,0
216836,1
216833,1
216827,0
216824,1
216818,0
216815,1
216809,0
216806,0
216797,0
216788,0
216782,0
216776,0
216764,1
216746,0
216734,1
216725,0
216722,1
216719,0
216707,1
216695,0
216689,1
216653,0
216644,0
216635,0
216623,0
216620,0
216617,1
216611,0
216605,1
216602,0
216584,0
216575,0
216572,1
216566,0
216563,0
216560,0
216551,0
216539,0
216533,1
216527,0
216518,0
216506,0
216497,0
216485,0
216476,0
216473,0
216470,0
216464,0
216461,1
216458,0
216452,0
216446,0
216428,1
216425,0
216422,0
216410,0
216398,0
216383,0
216380,0
216374,0
216371,0
216368,1
216365,0
216362,0
216353,1
216347,1
216344,1
216341,0
216332,0
216329,0
216323,0
216320,0
216314,0
216311,0
216308,0
216302,1
216299,0
216284,0
216278,0
216275,0
216266,0
216257,1
216254,0
216251,1
216248,0
216233,0
216227,0
216224,0
216215,0
216209,0
216200,0
216197,0
216194,0
216179,0
216176,0
216167,0
216164,0
216158,0
216155,0
216149,0
216140,0
216128,1
216122,0
216116,1
216110,0
216107,0
216104,0
216101,0
216089,1
216086,0
216074,0
216071,1
216065,1
216056,0
216053,1
216044,0
216035,0
216032,1
216029,0
216026,0
216011,0
216008,0
215981,0
215966,0
215960,0
215957,0
215951,1
215939,0
215936,1
215927,1
215909,0
215897,0
215888,0
215879,0
215861,1
215846,0
215837,1
215834,0
215825,0
215819,1
215816,0
215813,0
215810,0
215807,0
215795,0
215792,0
215783,0
215780,0
215756,0
215753,0
215738,0
215735,0
215723,0
215720,1
215708,0
215696,1
215690,0
215669,0
215663,0
215651,0
215648,1
215645,1
215642,0
215639,1
215636,0
215633,0
215630,0
215624,1
215621,1
215594,1
215585,0
215582,0
215576,1
215573,1
215561,0
215558,0
215546,0
215537,0
215528,0
215525,0
215522,0
215519,0
215516,0
215489,0
215483,1
215480,1
215468,0
215465,1
215456,1
215429,1
215414,0
215405,1
215402,1
215393,1
215390,0
215381,1
215354,1
215339,0
215333,0
215327,1
215318,0
215306,0
215297,1
215294,0
215291,0
215279,1
215267,0
215258,0
215255,0
215252,1
215240,0
215237,0
215231,0
215216,0
215210,1
215207,0
215204,1
215198,1
215192,0
215189,0
215183,1
215177,1
215174,0
215165,0
215162,1
215156,0
215150,0
215147,0
215141,0
215135,1
215132,1
215129,0
215126,1
215114,0
215111,0
215108,0
215102,1
215084,0
215078,0
215075,0
215072,0
215057,0
215042,0
215039,1
215033,0
215030,0
215024,1
215012,1
215003,0
215000,0
214967,0
214955,0
214937,1
214925,0
214913,0
214907,0
214904,0
214901,0
214895,0
214892,1
214883,0
214871,0
214856,0
214853,0
214847,0
214832,1
214829,0
214826,0
214820,0
214817,0
214811,0
214802,0
214790,0
214781,1
214772,0
214769,0
214766,0
214763,0
214760,0
214757,0
214754,1
214751,0
214736,0
214733,0
214727,0
214724,0
214718,0
214706,0
214694,0
214691,0
214685,0
214679,0
214667,1
214655,0
214652,0
214646,1
214628,1
214625,0
214601,0
214589,0
214574,0
214568,0
214565,0
214562,1
214556,1
214544,1
214541,0
214535,1
214520,1
214517,0
214508,0
214505,1
214502,0
214499,0
214496,0
214493,0
214487,1
214475,0
214472,0
214469,0
214466,0
214451,1
214445,1
214412,0
214406,1
214400,0
214397,0
214394,1
214391,0
214373,1
214367,0
214364,1
214361,0
214343,1
214334,0
214331,0
214322,0
214319,1
214316,0
214310,0
214289,0
214283,1
214280,0
214277,1
214244,1
214238,0
214235,0
214229,1
214220,0
214217,1
214208,0
214190,0
214187,0
214184,0
214169,0
214166,0
214151,0
214139,0
214124,0
214106,0
214103,1
214100,0
214088,1
214079,1
214070,0
214067,0
214058,0
214055,0
214049,0
214046,0
214043,0
214040,0
214031,0
214022,1
214019,0
214016,0
214013,0
214004,0
213989,0
213983,0
213971,0
213968,1
213965,0
213953,0
213947,0
213935,0
213923,0
213914,0
213908,1
213905,1
213902,0
213899,0
213896,0
213890,0
213887,0
213884,0
213881,1
213872,0
213860,0
213842,0
213830,0
213821,1
213815,0
213812,0
213809,1
213803,0
213800,1
213794,0
213785,0
213776,0
213761,1
213755,0
213743,0
213728,1
213722,0
213719,1
213710,0
213704,0
213698,0
213692,0
213674,0
213671,0
213659,1
213656,0
213641,0
213599,0
213596,0
213590,0
213584,1
213578,0
213572,0
213554,0
213551,0
213527,0
213521,0
213509,0
213500,0
213491,0
213488,0
213479,0
213464,0
213461,1
213455,0
213446,1
213443,0
213434,1
213425,0
213419,1
213416,0
213404,0
213398,1
213395,0
213389,0
213383,1
213365,1
213356,0
213350,1
213344,0
213335,1
213332,0
213311,0
213299,0
213287,0
213275,0
213272,0
213266,0
213257,0
213245,1
213242,0
213239,0
213233,0
213227,0
213206,0
213200,0
213188,0
213182,0
213170,0
213161,1
213158,0
213152,0
213149,0
213143,0
213122,0
213113,1
213107,0
213074,0
213065,0
213062,1
213059,0
213047,1
213044,0
213038,0
213035,0
213023,0
213014,1
213011,1
213002,1
212999,0
212993,0
212984,1
212969,0
212957,1
212948,0
212945,1
212939,0
212927,1
212921,0
212915,0
212912,0
212909,1
212888,0
212873,1
212870,1
212867,0
212852,0
212849,0
212846,0
212837,0
212834,0
212828,0
212825,0
212822,1
212807,0
212798,0
212795,0
212774,0
212768,0
212762,0
212753,1
212747,1
212741,1
212738,1
212726,0
212714,0
212705,0
212693,0
212684,0
212678,0
212663,0
212657,0
212654,1
212651,0
212642,0
212627,1
212615,1
212609,0
212606,0
212603,0
212600,1
212585,0
212579,0
212561,0
212555,0
212552,0
212549,0
212537,0
212534,0
212522,1
212510,0
212507,0
212495,0
212492,1
212474,0
212462,0
212453,0
212441,1
212432,0
212423,0
212420,1
212408,0
212405,0
212402,1
212399,1
212381,0
212375,0
212372,0
212366,1
212357,1
212351,0
212336,0
212333,0
212330,0
212285,0
212282,0
212279,0
212255,1
212252,0
212243,0
212240,0
212237,0
212234,0
212225,0
212216,0
212204,1
212201,1
212198,1
212195,0
212189,0
212174,0
212171,1
212168,0
212156,0
212153,0
212147,0
212138,1
212135,0
212129,0
212114,0
212105,0
212099,0
212096,0
212087,0
212078,0
212075,1
212069,0
212066,0
212057,1
212054,0
212051,0
212048,1
212045,0
212039,0
212033,0
212030,1
211997,1
211994,0
211970,1
211967,0
211964,1
211946,1
211937,0
211934,0
211931,0
211922,0
211910,0
211898,1
211886,0
211880,0
211874,0
211871,0
211868,1
211865,0
211859,0
211856,1
211844,1
211841,0
211835,0
211829,1
211814,0
211805,0
211802,0
211796,1
211781,1
211772,0
211757,1
211748,0
211742,0
211730,1
211700,0
211694,0
211688,0
211682,0
211679,0
211664,1
211652,0
211640,0
211637,1
211628,0
211625,0
211610,1
211607,0
211601,1
211592,1
211583,0
211577,0
211568,1
211565,0
211550,0
211547,1
211538,0
211535,0
211523,1
211520,0
211511,1
211502,0
211496,0
211493,0
211478,0
211475,0
211469,0
211463,0
211460,0
211457,1
211448,1
211445,0
211442,0
211439,0
211436,1
211430,0
211427,1
211412,1
211397,1
211388,0
211385,0
211382,1
211376,0
211364,1
211361,0
211349,0
211334,0
211310,0
211289,0
211286,1
211283,0
211274,0
211259,0
211253,1
211247,0
211226,0
211214,1
211211,0
211202,1
211199,1
211196,0
211193,0
211187,0
211184,0
211175,1
211172,1
211169,0
211139,1
211136,0
211133,0
211127,1
211124,0
211121,1
211109,0
211103,1
211100,1
211088,0
211082,0
211079,1
211061,1
211058,0
211055,0
211037,1
211031,0
211028,1
211022,0
211016,0
211010,0
211004,1
210995,0
210989,1
210986,1
210977,1
210971,0
210956,1
210953,1
210950,0
210935,0
210923,0
210917,1
210911,0
210902,0
210893,1
210890,1
210887,0
210881,0
210872,1
210869,1
210860,1
210851,0
210842,0
210839,0
210836,0
210812,0
210806,0
210800,1
210779,1
210776,0
210773,1
210767,1
210764,0
210758,0
210749,0
210743,1
210734,0
210731,1
210725,0
210722,0
210719,0
210713,0
210707,0
210686,0
210680,0
210668,0
210656,0
210653,1
210650,0
210641,1
210632,1
210629,0
210617,1
210614,0
210602,0
210587,0
210581,0
210578,0
210575,0
210572,0
210563,0
210557,0
210554,0
210551,1
210539,0
210536,0
210518,0
210509,0
210497,0
210494,0
210485,0
210482,0
210470,0
210467,1
210464,0
210461,1
210455,0
210452,0
210449,0
210440,0
210416,1
210407,0
210395,0
210386,0
210371,0
210368,0
210359,1
210353,0
210347,1
210344,0
210332,0
210326,1
210320,1
210314,0
210302,0
210299,0
210290,1
210284,0
210281,0
210266,0
210263,0
210254,0
210251,0
210242,0
210239,1
210230,0
210215,1
210209,1
210206,0
210200,1
210194,0
210179,1
210167,1
210158,0
210155,1
210137,0
210134,0
210125,1
210116,0
210104,0
210101,0
210098,0
210095,0
210086,0
210080,0
210077,0
210068,0
210062,1
210059,0
210053,0
210050,0
210047,0
210041,0
210026,0
210017,0
210008,0
210005,1
210002,1
209999,0
209993,0
209969,0
209951,0
209948,1
209945,1
209939,1
209933,0
209930,0
209924,0
209906,0
209903,0
209894,0
209891,0
209888,0
209885,1
209882,0
209879,0
209876,0
209870,0
209858,0
209855,0
209837,0
209831,0
209828,0
209825,1
209804,0
209801,0
209792,0
209789,0
209771,0
209759,0
209747,0
209741,0
209738,0
209732,1
209729,0
209726,0
209708,0
209705,0
209696,0
209687,1
209684,0
209681,0
209675,1
209672,0
209669,1
209666,1
209657,1
209654,0
209648,0
209606,0
209603,0
209597,0
209594,1
209591,0
209585,0
209582,0
209579,1
209573,0
209564,0
209555,0
209534,0
209528,0
209522,0
209513,1
209510,1
209507,0
209492,0
209489,1
209486,0
209480,0
209477,0
209474,0
209471,1
209459,0
209444,0
209417,0
209405,1
209384,1
209363,1
209360,0
209357,0
209351,0
209342,0
209339,0
209336,1
209333,0
209330,0
209321,0
209312,0
209306,0
209285,1
209282,1
209279,0
209276,1
209273,0
209258,0
209243,0
209231,1
209213,1
209204,1
209201,0
209189,1
209174,0
209165,0
209153,1
209144,1
209129,1
209120,0
209117,0
209114,1
209108,0
209102,0
209099,0
209096,1
209093,0
209090,0
209084,1
209081,0
209078,1
209072,0
209063,0
209060,0
209057,0
209042,0
209039,0
209027,0
209024,0
209015,1
209009,0
208991,0
208982,0
208979,0
208976,0
208973,0
208970,0
208955,1
208946,0
208943,1
208940,0
208922,0
208919,0
208910,0
208907,0
208898,0
208892,0
208886,0
208880,0
208874,1
208868,1
208859,0
208856,0
208853,0
208844,0
208841,0
208838,0
208826,0
208820,1
208811,0
208808,1
208805,0
208796,1
208790,1
208784,1
208781,0
208760,1
208757,0
208745,0
208742,0
208739,0
208736,0
208733,0
208730,0
208727,0
208715,0
208712,0
208706,0
208691,0
208688,1
208664,1
208658,0
208655,1
208652,0
208649,0
208640,0
208637,0
208634,0
208622,1
208619,0
208616,0
208607,0
208598,0
208595,0
208592,0
208577,0
208574,0
208571,0
208559,0
208544,1
208541,0
208517,0
208508,1
208496,0
208487,1
208481,0
208472,0
208469,1
208466,0
208457,0
208451,0
208448,0
208445,0
208436,0
208433,1
208427,1
208412,0
208409,0
208391,0
208388,0
208367,0
208364,1
208361,1
208343,1
208337,0
208325,0
208322,0
208316,1
208307,0
208304,0
208298,1
208277,0
208271,0
208268,0
208253,0
208250,0
208247,0
